loan_type,loan_amount_lakh,borrower_income_lakh,credit_score,tenure_months,default
Personal_NonPriority,1.18,6.68,603,36,0
Personal_NonPriority,2.6,8.77,607,60,0
Services_Priority,0.68,9.29,835,240,0
Services_NonPriority,1.87,7.39,773,24,0
Personal_NonPriority,0.49,10.03,746,36,0
Industry_NonPriority,1.39,7.67,660,60,0
Industry_NonPriority,2.12,8.04,685,24,0
Services_Priority,1.19,8.75,699,60,0
Agriculture,0.87,10.78,778,36,0
Personal_NonPriority,2.7,5.97,724,240,0
Personal_NonPriority,1.53,6.54,731,60,0
Services_NonPriority,1.21,5.99,689,36,0
Personal_Priority,1.67,7.0,747,60,0
Personal_Priority,7.92,12.28,718,120,0
Services_NonPriority,3.25,9.72,702,120,0
Personal_NonPriority,3.27,4.61,655,36,0
Personal_NonPriority,2.11,6.2,693,36,0
Services_NonPriority,1.8,9.12,635,36,0
Services_NonPriority,0.39,5.28,697,36,0
Agriculture,1.08,5.82,705,36,0
Industry_Priority,1.22,12.03,555,120,0
Personal_NonPriority,0.53,6.16,686,12,0
Services_NonPriority,0.81,10.86,629,36,0
Agriculture,0.5,11.77,729,24,0
Agriculture,1.59,5.8,738,24,0
Services_NonPriority,2.66,5.33,674,36,0
Agriculture,3.16,7.17,732,120,0
Industry_Priority,2.09,4.73,735,240,0
Industry_NonPriority,0.91,8.36,686,60,0
Services_NonPriority,0.51,7.38,792,36,0
Services_NonPriority,0.57,9.08,656,120,0
Services_Priority,0.76,12.19,788,12,0
Services_NonPriority,0.95,10.45,686,12,0
Services_Priority,1.48,9.47,649,36,0
Personal_Priority,0.89,2.1,678,36,0
Services_NonPriority,1.99,9.33,634,120,0
Services_NonPriority,1.42,13.17,747,240,0
Personal_NonPriority,1.64,-1.03,603,60,0
Services_NonPriority,3.23,10.07,783,36,0
Industry_NonPriority,0.8,7.52,643,24,0
Agriculture,2.09,5.45,750,36,0
Personal_Priority,1.61,10.4,701,240,0
Services_Priority,1.33,13.13,716,36,0
Services_Priority,2.77,10.33,664,24,0
Personal_NonPriority,2.76,6.89,721,36,0
Personal_Priority,0.92,5.17,708,60,0
Personal_NonPriority,1.46,8.43,612,60,0
Services_NonPriority,1.93,10.62,642,36,0
Services_NonPriority,1.38,6.84,667,120,0
Industry_NonPriority,2.31,7.13,654,60,0
Industry_NonPriority,1.93,16.47,775,60,0
Industry_NonPriority,4.89,11.24,700,120,0
Industry_Priority,0.65,11.45,653,120,0
Services_NonPriority,1.51,3.62,670,24,0
Services_Priority,0.94,5.88,669,60,0
Agriculture,2.34,8.22,682,60,0
Services_NonPriority,0.62,5.0,635,24,0
Industry_Priority,2.0,12.8,651,120,0
Personal_NonPriority,1.12,12.23,745,24,0
Personal_NonPriority,1.05,6.4,711,120,0
Personal_NonPriority,0.68,13.35,690,24,0
Personal_Priority,1.23,7.99,700,60,0
Agriculture,3.12,15.77,697,24,0
Personal_NonPriority,1.6,8.43,687,36,0
Industry_NonPriority,2.37,9.73,731,24,1
Personal_NonPriority,4.42,12.2,726,36,0
Personal_NonPriority,1.91,11.83,605,240,0
Personal_NonPriority,1.16,9.53,692,24,0
Services_Priority,2.15,7.58,609,36,0
Personal_Priority,1.17,9.54,738,60,0
Personal_NonPriority,1.2,5.55,746,12,0
Services_Priority,0.65,8.46,663,24,0
Industry_Priority,2.84,4.67,692,24,0
Industry_NonPriority,1.29,2.66,573,60,0
Personal_NonPriority,1.82,8.15,758,240,0
Services_NonPriority,0.87,11.79,742,120,0
Industry_NonPriority,2.11,10.78,769,240,0
Agriculture,1.03,7.75,789,60,0
Services_NonPriority,1.49,13.24,626,240,0
Personal_NonPriority,2.76,6.29,753,36,0
Agriculture,2.62,2.25,788,36,0
Industry_NonPriority,1.61,1.45,610,36,0
Personal_NonPriority,0.56,4.46,689,12,0
Services_NonPriority,9.8,10.45,678,120,0
Services_NonPriority,4.64,6.1,751,12,0
Services_NonPriority,2.51,9.38,556,60,0
Personal_Priority,1.04,12.94,808,36,0
Services_Priority,1.52,4.7,693,12,0
Personal_NonPriority,1.17,9.44,754,36,0
Personal_NonPriority,3.47,9.62,696,36,0
Personal_NonPriority,1.91,5.42,729,240,0
Personal_NonPriority,1.02,12.06,560,60,0
Industry_NonPriority,1.23,7.14,676,60,0
Industry_NonPriority,3.19,6.85,750,24,0
Services_NonPriority,4.25,14.33,717,36,0
Services_NonPriority,4.07,9.57,601,12,0
Services_NonPriority,2.56,10.78,703,120,0
Services_NonPriority,1.4,12.06,650,24,0
Personal_NonPriority,0.23,6.05,645,60,0
Personal_Priority,1.95,11.75,608,60,0
Personal_Priority,1.63,6.49,737,36,0
Agriculture,1.77,6.37,766,60,0
Industry_NonPriority,1.68,7.18,827,120,0
Agriculture,0.73,6.13,611,24,0
Industry_NonPriority,2.27,10.47,746,60,0
Industry_NonPriority,2.38,8.8,749,60,0
Services_Priority,2.45,6.53,665,36,0
Industry_NonPriority,2.87,10.02,644,24,0
Agriculture,2.34,7.17,634,36,0
Agriculture,1.27,7.02,668,240,0
Personal_NonPriority,1.56,8.15,712,36,0
Personal_Priority,1.72,9.39,781,24,0
Agriculture,1.74,9.17,766,12,0
Industry_NonPriority,2.96,6.91,603,24,0
Services_NonPriority,2.39,10.54,652,24,0
Industry_Priority,5.66,7.33,777,36,0
Services_NonPriority,6.12,6.04,656,36,0
Agriculture,1.71,3.6,696,120,1
Agriculture,0.16,10.95,597,120,0
Industry_NonPriority,3.42,8.04,769,36,0
Industry_NonPriority,1.18,8.63,585,120,0
Services_NonPriority,1.01,11.14,601,36,0
Services_NonPriority,1.28,6.57,763,60,0
Personal_NonPriority,1.24,3.88,815,24,0
Industry_NonPriority,2.35,8.21,682,12,0
Personal_Priority,0.64,8.92,697,24,0
Services_NonPriority,0.85,7.21,754,36,0
Services_Priority,2.0,12.42,717,120,0
Industry_NonPriority,2.37,0.54,677,24,0
Agriculture,2.39,11.36,670,24,0
Agriculture,1.01,10.37,605,240,0
Personal_NonPriority,0.9,9.37,713,60,0
Personal_NonPriority,1.2,-2.01,694,36,0
Services_NonPriority,1.88,11.85,673,12,0
Industry_NonPriority,3.97,4.92,639,120,1
Industry_Priority,0.48,6.48,645,24,0
Industry_Priority,1.43,7.49,737,60,0
Services_Priority,0.73,9.22,752,60,0
Industry_NonPriority,0.6,9.92,680,36,0
Services_NonPriority,2.91,10.68,674,240,0
Services_NonPriority,2.26,10.45,648,12,0
Services_Priority,2.13,8.76,756,120,0
Personal_NonPriority,2.83,9.25,701,60,0
Services_NonPriority,1.22,4.73,722,60,0
Industry_NonPriority,1.26,5.75,721,240,0
Services_NonPriority,6.04,10.69,681,60,0
Industry_NonPriority,1.4,10.51,630,120,0
Services_Priority,2.53,10.17,640,24,0
Personal_Priority,1.63,6.46,767,120,0
Services_NonPriority,0.54,10.73,656,120,0
Agriculture,0.48,4.52,675,240,0
Agriculture,1.15,11.23,631,240,0
Agriculture,3.07,7.22,627,24,0
Agriculture,2.61,13.05,653,36,0
Personal_NonPriority,2.82,3.44,801,240,0
Services_NonPriority,0.9,13.29,739,60,0
Industry_NonPriority,4.29,6.92,668,36,0
Agriculture,0.91,6.86,764,24,0
Industry_NonPriority,1.85,8.58,690,36,0
Industry_NonPriority,1.62,5.91,781,60,0
Industry_Priority,1.47,7.78,832,120,0
Industry_NonPriority,3.63,5.79,761,36,0
Personal_Priority,1.07,5.9,705,12,0
Services_NonPriority,0.72,9.46,741,60,0
Services_NonPriority,1.65,5.3,700,240,0
Agriculture,1.28,5.7,589,36,0
Personal_Priority,12.35,3.88,660,240,0
Services_NonPriority,2.44,6.49,642,36,0
Industry_NonPriority,1.27,11.93,659,120,0
Personal_NonPriority,0.86,5.46,807,120,0
Services_NonPriority,0.53,5.81,767,240,0
Industry_Priority,0.88,8.58,726,120,0
Agriculture,1.74,6.89,748,36,0
Services_NonPriority,3.83,14.68,586,240,1
Agriculture,3.19,7.51,743,60,0
Industry_NonPriority,1.87,9.01,756,24,0
Personal_NonPriority,1.34,10.83,565,12,0
Industry_NonPriority,1.91,10.77,745,36,0
Personal_Priority,1.19,8.7,614,120,0
Services_NonPriority,4.56,7.52,581,60,0
Industry_NonPriority,1.45,14.07,779,60,0
Industry_NonPriority,1.55,7.7,639,12,0
Personal_NonPriority,0.43,6.67,657,36,0
Personal_Priority,1.45,6.06,759,24,1
Personal_NonPriority,2.69,2.82,681,36,0
Personal_NonPriority,0.86,10.46,689,240,0
Industry_Priority,1.04,0.96,687,120,0
Agriculture,2.62,7.98,720,36,0
Agriculture,0.67,7.39,686,60,0
Agriculture,3.07,14.72,706,60,0
Agriculture,1.18,2.51,669,24,0
Services_NonPriority,1.29,5.3,721,240,0
Agriculture,0.83,7.59,718,36,0
Services_Priority,2.04,7.41,813,60,0
Personal_NonPriority,7.12,6.35,677,60,0
Agriculture,2.6,7.76,688,24,0
Personal_NonPriority,0.97,4.22,714,24,0
Services_Priority,3.22,9.07,757,24,0
Agriculture,1.35,1.04,634,36,1
Services_NonPriority,3.71,7.92,706,24,0
Services_NonPriority,2.64,6.2,549,240,0
Personal_NonPriority,0.28,11.05,683,60,0
Services_NonPriority,0.89,13.27,764,120,0
Personal_NonPriority,2.87,7.01,656,120,0
Services_Priority,1.78,12.17,710,60,0
Industry_Priority,0.88,7.05,668,24,0
Services_NonPriority,1.11,5.1,648,60,0
Personal_NonPriority,0.52,13.24,758,24,0
Personal_NonPriority,1.54,9.56,637,24,0
Industry_NonPriority,6.13,8.01,717,60,0
Personal_Priority,2.64,10.06,718,60,0
Services_NonPriority,6.06,8.82,648,24,0
Personal_Priority,2.76,7.79,709,36,0
Personal_NonPriority,3.01,4.02,643,12,0
Personal_NonPriority,5.32,7.19,731,60,0
Industry_NonPriority,2.04,9.87,621,240,0
Services_NonPriority,1.45,7.63,679,60,0
Services_NonPriority,3.02,10.71,684,120,0
Agriculture,3.89,9.15,766,36,1
Personal_NonPriority,1.22,5.37,708,12,0
Industry_NonPriority,1.06,4.04,757,60,0
Personal_NonPriority,1.77,7.53,733,36,0
Personal_Priority,2.68,6.43,732,36,0
Personal_NonPriority,2.63,9.01,680,60,0
Personal_Priority,0.69,5.85,761,240,1
Agriculture,5.12,6.15,678,36,0
Personal_NonPriority,1.11,11.16,596,240,0
Agriculture,1.39,8.44,687,60,0
Services_Priority,0.95,5.89,727,24,0
Personal_NonPriority,8.22,8.05,603,60,0
Personal_NonPriority,1.88,12.14,646,120,0
Industry_NonPriority,0.98,8.88,626,60,1
Services_NonPriority,2.73,9.78,747,60,0
Industry_NonPriority,2.58,5.74,800,60,0
Services_Priority,1.45,11.08,687,60,0
Personal_Priority,2.7,14.95,731,36,0
Services_NonPriority,0.99,5.63,730,24,0
Services_NonPriority,1.21,4.45,793,36,0
Services_NonPriority,0.49,8.53,660,36,0
Services_NonPriority,0.74,10.63,686,120,0
Agriculture,4.81,7.73,679,120,0
Industry_NonPriority,4.36,4.84,704,24,0
Agriculture,1.69,7.67,850,60,0
Industry_NonPriority,4.41,9.79,701,36,0
Industry_NonPriority,1.48,6.78,648,60,0
Personal_NonPriority,1.41,9.82,630,60,0
Personal_Priority,1.68,11.49,775,36,0
Agriculture,1.51,8.72,648,240,0
Agriculture,1.43,7.92,739,240,0
Services_NonPriority,3.23,10.49,659,24,0
Services_NonPriority,1.78,5.43,623,60,0
Agriculture,2.5,5.14,736,12,0
Agriculture,3.02,7.2,662,12,0
Services_NonPriority,2.05,6.52,725,240,0
Agriculture,0.91,5.59,729,60,0
Personal_NonPriority,0.72,13.49,732,36,0
Services_NonPriority,1.78,14.52,683,60,0
Agriculture,1.47,6.94,741,120,0
Agriculture,1.72,8.28,644,120,0
Personal_NonPriority,1.61,7.44,552,12,0
Personal_Priority,7.67,11.32,742,120,0
Personal_Priority,0.73,11.92,709,120,0
Personal_NonPriority,0.49,2.67,663,60,0
Personal_NonPriority,1.99,9.43,611,36,0
Personal_NonPriority,1.3,4.08,577,24,0
Services_NonPriority,1.97,13.27,703,24,0
Personal_Priority,2.31,9.32,798,36,0
Agriculture,3.52,5.53,691,120,0
Services_NonPriority,0.66,7.28,678,120,0
Industry_NonPriority,1.17,7.13,698,36,0
Industry_NonPriority,2.11,9.58,830,120,0
Personal_NonPriority,2.58,11.13,745,120,0
Agriculture,6.07,4.56,643,60,0
Industry_NonPriority,2.89,13.52,701,24,0
Agriculture,1.57,12.82,719,36,0
Industry_NonPriority,0.95,5.37,636,24,0
Agriculture,1.16,8.22,745,12,1
Agriculture,1.14,13.13,650,12,1
Agriculture,2.41,11.7,609,120,0
Services_NonPriority,1.9,6.99,704,12,0
Services_NonPriority,0.74,10.44,695,36,0
Industry_NonPriority,1.25,16.99,699,240,0
Personal_NonPriority,2.76,8.32,654,120,1
Personal_Priority,2.01,6.1,662,120,0
Services_Priority,2.29,8.52,767,36,0
Personal_NonPriority,2.05,8.74,726,60,0
Services_Priority,4.32,6.43,642,36,0
Personal_NonPriority,1.88,9.32,582,60,0
Agriculture,1.29,4.24,645,36,1
Personal_NonPriority,0.94,6.0,709,60,0
Agriculture,1.89,10.27,662,240,0
Personal_NonPriority,0.38,2.74,657,36,0
Industry_NonPriority,1.46,10.71,664,24,0
Personal_NonPriority,1.44,1.96,695,36,0
Agriculture,0.72,2.81,747,60,0
Industry_NonPriority,0.93,6.5,699,12,0
Personal_NonPriority,2.65,8.86,703,120,0
Industry_NonPriority,1.87,11.98,686,36,0
Services_NonPriority,1.73,8.17,670,36,0
Services_NonPriority,1.96,7.26,753,60,0
Industry_NonPriority,1.72,9.74,744,120,0
Services_NonPriority,3.43,5.39,822,240,0
Industry_NonPriority,1.75,8.42,736,24,0
Personal_NonPriority,0.68,4.4,670,36,0
Agriculture,4.33,8.25,645,24,0
Services_Priority,2.03,7.61,757,120,0
Personal_NonPriority,1.14,5.59,651,60,0
Personal_NonPriority,0.77,8.5,748,120,0
Industry_NonPriority,2.06,8.48,654,240,0
Services_NonPriority,1.52,11.53,720,60,0
Services_Priority,4.19,3.18,636,24,0
Industry_Priority,1.32,7.77,746,36,0
Industry_NonPriority,0.98,5.72,625,12,0
Personal_Priority,2.79,10.61,716,120,0
Industry_NonPriority,2.84,10.26,688,12,0
Agriculture,1.8,9.52,706,60,0
Personal_NonPriority,2.44,5.89,676,24,0
Personal_NonPriority,1.59,10.66,674,12,0
Services_NonPriority,1.87,3.41,709,36,0
Industry_NonPriority,3.27,2.79,639,60,0
Services_Priority,2.37,4.17,639,12,0
Personal_NonPriority,1.47,7.9,678,60,0
Services_NonPriority,3.66,10.03,676,60,0
Industry_Priority,0.39,-0.93,639,240,0
Personal_NonPriority,5.58,11.97,755,120,0
Personal_NonPriority,0.58,8.39,679,60,0
Personal_NonPriority,1.12,3.3,686,120,0
Services_NonPriority,1.59,8.3,620,36,0
Services_NonPriority,1.49,11.28,824,60,0
Industry_NonPriority,2.98,9.8,845,36,0
Personal_NonPriority,0.86,11.3,653,36,0
Personal_NonPriority,1.9,3.9,773,60,0
Agriculture,1.15,6.76,694,36,0
Agriculture,1.94,5.23,796,36,0
Personal_Priority,1.57,13.15,720,36,0
Personal_NonPriority,1.72,9.92,705,120,0
Personal_NonPriority,1.17,16.54,550,24,0
Industry_Priority,1.2,6.6,647,36,0
Industry_NonPriority,1.93,5.83,701,120,0
Personal_Priority,2.87,7.57,711,12,0
Personal_NonPriority,1.14,12.14,627,240,0
Personal_NonPriority,0.97,6.9,656,120,0
Personal_NonPriority,2.35,8.37,733,36,0
Industry_NonPriority,1.6,8.29,617,60,0
Industry_NonPriority,2.68,8.12,708,240,0
Services_Priority,0.95,6.04,774,60,0
Agriculture,0.56,7.59,723,12,0
Personal_NonPriority,1.18,7.46,720,120,0
Personal_NonPriority,1.03,7.98,578,24,0
Personal_NonPriority,1.55,10.83,650,36,0
Personal_NonPriority,1.11,13.28,823,120,0
Industry_NonPriority,2.54,5.48,664,36,0
Services_NonPriority,1.37,6.82,775,60,0
Personal_NonPriority,1.78,5.52,663,36,0
Personal_NonPriority,1.79,8.56,683,120,0
Services_Priority,1.83,6.38,730,24,0
Industry_NonPriority,1.6,8.72,706,36,0
Agriculture,2.21,11.31,722,36,0
Personal_NonPriority,1.01,0.42,650,24,0
Services_NonPriority,3.77,9.48,631,36,0
Services_Priority,1.41,6.62,646,36,0
Services_NonPriority,0.74,9.38,668,240,0
Services_NonPriority,1.82,5.31,686,60,0
Personal_Priority,0.98,11.59,762,36,0
Agriculture,2.43,10.74,705,60,0
Services_NonPriority,6.13,9.71,729,240,0
Industry_NonPriority,1.02,10.38,708,60,0
Services_NonPriority,1.99,5.76,633,60,0
Industry_NonPriority,0.57,6.14,701,36,0
Personal_NonPriority,2.14,10.26,707,36,0
Industry_NonPriority,0.96,5.7,745,24,0
Industry_NonPriority,1.12,12.34,635,60,0
Personal_NonPriority,0.84,7.03,577,36,1
Industry_NonPriority,2.53,9.51,710,60,0
Agriculture,2.98,14.3,721,24,0
Agriculture,1.65,5.88,689,36,0
Services_NonPriority,0.97,8.21,701,36,0
Services_NonPriority,4.22,11.16,752,24,0
Services_NonPriority,1.04,10.85,672,12,0
Industry_Priority,0.44,7.02,683,36,0
Agriculture,2.14,6.45,704,60,0
Agriculture,0.84,7.3,626,60,0
Personal_Priority,2.95,12.34,690,36,0
Industry_NonPriority,1.29,7.16,696,60,0
Personal_Priority,2.34,8.23,798,60,0
Industry_NonPriority,3.77,6.72,682,60,0
Personal_NonPriority,0.79,10.12,712,12,0
Personal_Priority,1.16,8.47,755,36,0
Industry_NonPriority,1.56,4.99,649,24,0
Services_NonPriority,4.09,5.09,782,60,0
Personal_Priority,1.1,2.0,805,120,0
Services_NonPriority,1.14,5.51,698,60,0
Personal_NonPriority,2.17,10.38,667,24,0
Personal_NonPriority,1.15,11.97,797,24,0
Agriculture,1.78,10.06,747,12,1
Personal_NonPriority,0.64,9.66,704,36,0
Industry_NonPriority,6.15,7.62,785,36,0
Services_Priority,0.73,10.32,779,24,0
Industry_NonPriority,1.34,8.86,679,120,0
Personal_NonPriority,1.6,13.41,714,36,0
Industry_NonPriority,5.13,7.7,734,60,0
Personal_Priority,0.74,12.03,701,60,0
Services_NonPriority,5.35,10.62,616,60,0
Services_Priority,2.56,10.21,643,240,0
Agriculture,2.09,1.97,618,12,1
Agriculture,0.9,10.79,729,12,0
Agriculture,2.29,7.62,628,60,0
Industry_Priority,1.05,6.67,711,36,0
Agriculture,3.48,3.55,809,240,0
Services_NonPriority,0.91,7.98,785,24,0
Industry_Priority,1.52,8.1,589,24,1
Personal_Priority,1.17,4.09,623,60,0
Personal_NonPriority,0.9,3.58,653,36,0
Industry_NonPriority,2.54,9.46,629,36,0
Services_NonPriority,2.24,10.62,600,240,0
Industry_Priority,3.36,8.57,699,12,0
Industry_Priority,0.56,11.45,742,60,0
Agriculture,3.08,7.74,757,36,0
Industry_Priority,7.32,7.84,671,36,0
Services_Priority,1.24,5.25,683,24,0
Industry_Priority,5.07,3.32,721,24,0
Agriculture,1.39,13.56,693,12,0
Agriculture,0.71,11.39,748,240,0
Industry_NonPriority,1.35,3.82,725,60,0
Industry_Priority,3.05,8.47,677,120,0
Personal_Priority,0.98,7.7,588,12,0
Industry_NonPriority,1.14,7.18,789,12,0
Services_NonPriority,2.32,6.77,658,60,0
Agriculture,1.63,9.14,721,60,1
Services_NonPriority,2.31,10.45,585,36,0
Services_NonPriority,1.88,9.21,699,36,0
Agriculture,2.17,7.64,706,36,0
Personal_NonPriority,1.26,7.53,708,24,0
Personal_NonPriority,1.87,10.81,850,120,0
Agriculture,0.93,9.39,662,24,0
